Title,Year
Grannys Garden,1983
"Gadget: Invention, Travel, & Adventure",1993
Tuneland,1994
Beavis and Butt-head in Virtual Stupidity,1995
Brain Dead 13,1995
The Circus,1995
Dust: A Tale of the Wired West,1995
"Hugo II, Whodunit?",1995
"Hugo III, Jungle of Doom!",1995
Shivers,1995
Torins Passage,1995
Ace Ventura,1996
Darby the Dragon,1996
Dragons Lair II: Time Warp,1996
Frankenstein: Through the Eyes of the Monster,1996
Freddi Fish and Luthers Maze Madness,1996
Freddi Fish and Luthers Water Worries,1996
Gregory and the Hot Air Balloon,1996
Isis,1996
JumpStart 2nd Grade,1996
The Pandora Directive,1996
Reading Blaster 2000,1996
Sonic CD,1996
Spycraft: The Great Game,1996
Zork Nemesis,1996
Blue Heat: The Case of the Cover Girl Murders,1997
The ClueFinders 3rd Grade Adventures: The Mystery of Mathra,1997
Dragons Lair,1997
Duckman: The Legend of the Fall,1997
Ecstatica II,1997
EVE Burst Error,1997
Excalibur 2555 AD,1997
The Last Express,1997
Nightmare Creatures,1997
Outlaws,1997
Pax Corpus,1997
The Simpsons: Virtual Springfield,1997
Star Warped,1997
Treasure Cove!,1997
Versailles 1685,1997
X-Change,1997
Blood II: The Chosen,1998
Cracking the Conspiracy,1998
Critical Point,1998
Divi-Dead,1998
Heart of Darkness,1998
Heretic II,1998
Lauras Happy Adventures,1998
Lego Creator,1998
Lineage,1998
Lovely Girls,1998
Neon Genesis Evangelion: Iron Maiden,1998
O.D.T.,1998
Queen: The eYe,1998
Star Wars: Rogue Squadron,1998
Starship Titanic,1998
Tex Murphy: Overseer,1998
Tomb Raider Gold,1998
Tomb Raider III,1998
Amerzone,1999
The ClueFinders 6th Grade Adventures: The Empire of the Plant People,1999
The ClueFinders Math Adventures,1999
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",1999
Garage: Bad Dream Adventure,1999
Legacy of Kain: Soul Reaver,1999
The Longest Journey,1999
Motorhead,1999
Nocturne,1999
Pharaoh,1999
Prince of Persia 3D,1999
Star Wars Episode I: The Phantom Menace,1999
Stay Tuned for Danger,1999
X-Change 2,1999
Allegiance,2000
Avernum,2000
Crime Cities,2000
The Crystal Key,2000
The Devil Inside,2000
Evil Dead: Hail to the King,2000
In Cold Blood,2000
Martian Gothic: Unification,2000
The New Adventures of the Time Machine,2000
Odyssey: The Search for Ulysses,2000
Pompei: The Legend of Vesuvius,2000
RPG Maker 2000,2000
Rune,2000
Sacrifice,2000
Sea Dogs,2000
Spider-Man,2000
Stupid Invaders,2000
Warm Up!,2000
Zax: The Alien Hunter,2000
Anarchy Online,2001
Arthurs Knights II: The Secret of Merlin,2001
Atlantis The Lost Empire: Search for the Journal,2001
Atlantis The Lost Empire: Trial by Fire,2001
Bittersweet Fools,2001
Black & White,2001
Crescendo,2001
Do You Like Horny Bunnies?,2001
Dragon Riders: Chronicles of Pern,2001
The Final Scene,2001
Jack Orlando,2001
Lego Creator: Harry Potter,2001
Max Payne,2001
