Publisher,Count
Electronic Arts,193
Ubisoft,139
Activision,130
Sega,86
Eidos Interactive,82
THQ,74
Atari,73
EA Sports,70
Sierra Entertainment,53
Codemasters,45
LucasArts,45
 Inc.,44
Capcom,42
Konami,41
Microsoft Game Studios,41
Infogrames,39
Sierra On-Line,39
Interplay Entertainment,38
EA Games,37
Microsoft,36
Paradox Interactive,30
Strategy First,28
Valve,27
3DO,26
Empire Interactive,26
Blizzard Entertainment,25
GT Interactive,24
Midway Games,24
Psygnosis,23
Hasbro Interactive,22
2K Games,21
PopCap Games,21
1C Company,20
2K Sports,20
Activision Value,20
Bethesda Softworks,20
Gathering of Developers,20
Strategic Simulations,20
Acclaim Entertainment,19
Sony Online Entertainment,19
Spiderweb Software,19
Big Fish Games,17
Deep Silver,17
Virgin Interactive,17
NovaLogic,16
The Adventure Company,16
Disney Interactive,15
DreamCatcher,15
Microids,15
Square Enix,15
Team Shanghai Alice,15
The Learning Company,15
WizardWorks,15
Disney Interactive Studios,14
DreamCatcher Interactive,14
Maxis,14
Cryo Interactive,13
Global Star Software,13
Humongous Entertainment,13
Rockstar Games,13
TalonSoft,13
Vivendi Universal,13
JoWood Productions,12
Koei,12
Knowledge Adventure,11
Microprose,11
Namco,11
Take-Two Interactive,11
Telltale Games,11
 Electronic Arts,10
CDV,10
Lego Media,10
Majesco Entertainment,10
MicroProse,10
Microsoft Studios,10
Mindscape,10
NCsoft,10
PlayFirst,10
 Sierra Entertainment,9
 Ubisoft,9
 Zoo Digital Publishing,9
Acclaim,9
Milestone srl,9
Nihon Falcom,9
SCi,9
Simon & Schuster Interactive,9
ValuSoft,9
 Strategy First,8
 THQ,8
 Valve,8
CDV Software,8
Focus Home Interactive,8
Fox Interactive,8
JoWooD Productions,8
Matrix Games,8
Reflexive Entertainment,8
 Activision,7
 Atari,7
 LLC,7
 The Adventure Company,7
Bandai Namco Entertainment,7
Digital Jesters,7
Dreamcatcher Interactive,7
GameHouse,7
Gremlin Interactive,7
Kalypso Media,7
Lighthouse Interactive,7
MumboJumbo,7
Shrapnel Games,7
Sierra Studios,7
SouthPeak Games,7
Stardock,7
 Akella,6
 Sega,6
505 Games,6
ASC Games,6
Accolade,6
Activision Publishing,6
DreamCatcher Games,6
Namco Bandai Games,6
Red Storm Entertainment,6
Twilight Frontier,6
Wanadoo Edition,6
 Capcom,5
 Infogrames,5
 Team Shanghai Alice,5
BMG Interactive,5
Buka Entertainment,5
GarageGames,5
Groove Games,5
Her Interactive,5
Illusion,5
Lego Software,5
Monolith Productions,5
Monte Cristo,5
NStorm,5
Oxygen Interactive,5
SEGA,5
SegaSoft,5
Sierra Online,5
Simon & Schuster,5
Team17,5
Techland,5
Virgin Interactive Entertainment,5
Vivendi Universal Games,5
 1C Company,4
 Aspyr,4
 Aspyr Media,4
 Eidos Interactive,4
 Enlight,4
 Inc,4
Activision Value Publishing,4
Adventure Soft,4
Atlus,4
Blue Byte,4
Brøderbund,4
Buena Vista Games,4
Bungie,4
City Interactive,4
Crystal Dynamics,4
Daedalic Entertainment,4
Destineer,4
Encore Software,4
Gamecock Media Group,4
Got Game Entertainment,4
HeadGames Publishing,4
Legacy Interactive,4
NCSoft,4
Nexon,4
Nitroplus,4
Peach Princess,4
Ratbag Games,4
Rovio Entertainment,4
SCi Games Ltd.,4
Sunflowers,4
Superior Interactive,4
THQ Nordic,4
Taito,4
Vivendi Games,4
Warner Bros. Interactive Entertainment,4
WayForward,4
 Conspiracy Entertainment,3
 Cyberfront Corporation,3
 Gathering of Developers,3
 Interplay Entertainment,3
 Lighthouse Interactive,3
 MediaKite,3
 Merscom,3
 Micro Application,3
 SouthPeak Games,3
 Stardock,3
 Typhoon Games,3
5pb.,3
7th Level,3
ARUSH Entertainment,3
