Title,Year
Spaceward Ho!,1990
SimFarm,1993
Lords of the Realm,1994
Sid Meiers Colonization,1994
SimTower,1994
Angelique Special,1995
Area 51,1995
Chessmaster 4000,1995
Comanche 2,1995
Fleet Defender Gold,1995
Fury3,1995
Madden NFL 96,1995
Marios Game Gallery,1995
MechWarrior 2: 31st Century Combat,1995
The Oregon Trail II,1995
SimCity,1995
SimCity 2000,1995
SimIsle: Missions in the Rainforest,1995
SimTown,1995
True Love,1995
Virtual Pool,1995
The Amazon Trail,1996
AquaNox,1996
Close Combat,1996
Deadly Tide,1996
Descent II,1996
Earthsiege 2,1996
F-22 Lightning II,1996
Fire Fight,1996
Flight Unlimited,1996
Furcadia,1996
Grand Prix Manager 2,1996
Hind,1996
Janes US Navy Fighters,1996
Microsoft Flight Simulator for Windows 95,1996
NASCAR Racing 2,1996
Netrek,1996
The Oregon Trail,1996
SimCopter,1996
SimGolf,1996
SimPark,1996
SimTunes,1996
Steven Spielbergs Directors Chair,1996
Su-27 Flanker,1996
Titanic: Adventure Out of Time,1996
Tom Clancys SSN,1996
Top Gun: Fire At Will,1996
Triple Play 97,1996
Wing Commander IV: The Price of Freedom,1996
Ayakashi Ninden Kunoichiban,1997
Carmageddon,1997
Comanche 3,1997
Constructor,1997
Darklight Conflict,1997
Dungeon Keeper,1997
Enemy Nations,1997
Evolution: The Game of Intelligent Life,1997
F-22 Raptor,1997
FIFA Soccer Manager,1997
Flight Unlimited II,1997
Forbes Corporate Warrior,1997
Fragile Allegiance,1997
Front Page Sports: Football Pro 98,1997
G-Police,1997
Gizmos & Gadgets!,1997
"I-War, Independence War",1997
International Rally Championship,1997
Interstate 76,1997
Interstate 76 Nitro Pack,1997
Joint Strike Fighter,1997
Lego Island,1997
Longbow Gold,1997
Longbow 2,1997
Microsoft Flight Simulator 98,1997
NBA Live 98,1997
Need for Speed II,1997
The Oregon Trail 3rd Edition,1997
RayForce,1997
Red Baron II,1997
SODA Off-Road Racing,1997
Star Trek Generations,1997
Star Trek: Starfleet Academy,1997
Star Wars: X-Wing vs. TIE Fighter,1997
Theme Hospital,1997
Tokimeki Memorial,1997
Tony La Russa Baseball 4,1997
Virtual Pool 2,1997
Wing Commander: Prophecy,1997
Wing Commander: Prophecy Special Edition,1997
Age of Empires: The Rise of Rome,1998
Amazon Trail 3rd Edition,1998
Anno 1602,1998
Barbie Riding Club,1998
Carnivores,1998
Close Combat III: The Russian Front,1998
Colin McRae Rally,1998
Combat Flight Simulator WWII Europe Series,1998
CyberStrike 2,1998
Deer Hunter Companion,1998
Deer Hunter II: The Hunt Continues,1998
Deer Hunters Extended Season,1998
Deer Hunter II: Extended Season,1998
Descent: FreeSpace – The Great War,1998
Emergency,1998
European Air War,1998
F-22 Total Air War,1998
Falcon 4.0,1998
FIFA 99,1998
Firearms,1998
Get Medieval,1998
Grand Prix Legends,1998
Incoming,1998
Intellivision Lives!,1998
Janes F-15,1998
Janes WWII Fighters,1998
Knights and Merchants: The Shattered Kingdom,1998
Lego Loco,1998
Lula: The Sexy Empire,1998
M1 Tank Platoon II,1998
Madden NFL 99,1998
MechCommander,1998
Microsoft Golf 1998 Edition,1998
MiG-29 Fulcrum,1998
Monster Truck Madness 2,1998
NAM,1998
NBA Live 99,1998
Need for Speed III: Hot Pursuit,1998
NFL GameDay 99,1998
Police Quest: SWAT 2,1998
Pro Pinball: Big Race USA,1998
Soldiers at War,1998
Star Trek: Starship Creator,1998
Thief: The Dark Project,1998
Top Gun: Hornets Nest,1998
Viper Racing,1998
Wing Commander: Secret Ops,1998
X-COM: Interceptor,1998
Babyz,1999
Caesar III,1999
Carnivores 2,1999
Civilization II: Test of Time,1999
Civilization: Call to Power,1999
Creatures 3,1999
Cutthroats: Terror on the High Seas,1999
Deer Hunter 3: The Legend Continues,1999
Descent 3: Mercenary,1999
F-22 Lightning 3,1999
Fighter Squadron: The Screamin Demons Over Europe,1999
Flight Unlimited III,1999
Formula One 99,1999
Forsaken,1999
Freeciv,1999
FreeSpace 2,1999
Gearhead Garage,1999
Hoyles Backgammon & Cribbage,1999
Interstate 82,1999
Jagged Alliance 2,1999
Janes USAF,1999
Jimmy Whites 2: Cueball,1999
King of Dragon Pass,1999
Lego Rock Raiders,1999
Madden NFL 2000,1999
MechWarrior 3,1999
MechWarrior 3: Pirates Moon,1999
Microsoft Flight Simulator 2000,1999
Midtown Madness,1999
MiG Alley,1999
Missile Command,1999
Mobil 1 Rally Championship,1999
NASCAR Legends,1999
NASCAR Racing 1999 Edition,1999
NBA Live 2000,1999
Need for Speed: High Stakes,1999
Panzer Elite,1999
Redline,1999
RollerCoaster Tycoon,1999
The Settlers III: Quest of the Amazons,1999
SimCity 3000,1999
Star Wars: X-Wing Alliance,1999
SWAT 3: Close Quarters Battle,1999
Test Drive 6,1999
Theme Park World,1999
Tom Clancys Rainbow Six: Rogue Spear,1999
Triple Play 2000,1999
X: Beyond the Frontier,1999
Airfix Dogfighter,2000
Airport Tycoon,2000
B-17 Flying Fortress: The Mighty 8th,2000
Bang! Gunship Elite,2000
Beach Head 2000,2000
Cabelas Big Game Hunter 4,2000
Championship Manager: Season 00/01,2000
Colin McRae Rally 2.0,2000
Combat Flight Simulator 2,2000
Combat Mission: Beyond Overlord,2000
Crimson Skies,2000
Dirt Track Racing,2000
Dirt Track Racing: Sprint Cars,2000
Elasto Mania,2000
Empire of the Ants,2000
Enemy Engaged: RAH-66 Comanche vs. KA-52 Hokum,2000
Europa Universalis,2000
Europa Universalis: Crown of the North,2000
F1 2000,2000
F1 Manager,2000
F1 Racing Championship,2000
Fast Food Tycoon,2000
Homeworld: Cataclysm,2000
Hoyle Casino,2000
Innova Disc Golf,2000
Lego Creator: Knights Kingdom,2000
Legoland,2000
Madden NFL 2001,2000
Majesty: The Fantasy Kingdom Sim,2000
MechWarrior 4: Vengeance,2000
Midtown Madness 2,2000
NASCAR 2000,2000
NBA Live 2001,2000
Need for Speed: Porsche Unleashed,2000
Orbiter,2000
Reach for the Stars,2000
Rowans Battle of Britain,2000
The Sims: Livin Large,2000
Star Trek: Klingon Academy,2000
Starlancer,2000
StarPeace,2000
Submarine TITANS,2000
Summoner,2000
Tachyon: The Fringe,2000
Thief II: The Metal Age,2000
Tony Hawks Pro Skater 2,2000
X-Tension,2000
4x4 EVO 2,2001
Age of Sail II,2001
Alchemy,2001
Carnivores Ice Age,2001
Casino Tycoon,2001
Championship Manager: Season 01/02,2001
Comanche 4,2001
The Corporate Machine,2001
DarkSpace,2001
Deadly Dozen,2001
Deer Hunter 4: World-Class Record Bucks,2001
Deer Hunter 5: Tracking Trophies,2001
Descent 3 (White Label Edition),2001
Empire Earth,2001
Eurofighter Typhoon,2001
Europa Universalis II,2001
Fast Food Tycoon 2,2001
Frank Herberts Dune,2001
Golf Resort Tycoon,2001
Harukanaru Toki no Naka de 2,2001
IL-2 Sturmovik,2001
Independence War 2: Edge of Chaos,2001
Intellivision Rocks,2001
Knights and Merchants: The Peasants Rebellion,2001
Lego Island 2: The Bricksters Revenge,2001
Majesty: The Northern Expansion,2001
MechCommander 2,2001
MechWarrior 4: Black Knight,2001
The Messenger,2001
Microsoft Flight Simulator 2002,2001
Microsoft Train Simulator,2001
Monopoly Tycoon,2001
Moon Tycoon,2001
NASCAR Racing 4,2001
NBA Live 2002,2001
Neon Genesis Evangelion: Ayanami Raising Project,2001
Operation Flashpoint: Cold War Crisis,2001
Rails Across America,2001
Rally Championship Xtreme,2001
Rally Trophy,2001
Robot Wars: Arenas of Destruction,2001
Scan Command: Jurassic Park,2001
Screamer 4x4,2001
The Settlers IV,2001
The Sims: Hot Date,2001
Skateboard Park Tycoon,2001
Ski Resort Tycoon,2001
Ski Resort Tycoon II,2001
Star Trek: Deep Space Nine: Dominion Wars,2001
Star Wars: Galactic Battlegrounds,2001
Star Wars: TIE Fighter,2001
Star Wars: TIE Fighter (Collectors CD-ROM),2001
Startopia,2001
State of War,2001
Stronghold,2001
Survival: The Ultimate Challenge,2001
Theme Park Inc,2001
Traffic Giant,2001
tranquility,2001
Tropico,2001
The Weakest Link,2001
Activision Anthology,2002
Battlefield 1942,2002
Big Biz Tycoon,2002
Black & White: Creature Isle,2002
Bratz,2002
Casino Empire,2002
Chessmaster 9000,2002
Civilization III: Play the World,2002
Combat Flight Simulator 3: Battle for Europe,2002
Combat Mission II: Barbarossa to Berlin,2002
Emperor: Rise of the Middle Kingdom,2002
